id,product_text,retailer,category
4600,MR CLEAN GEL,Kroger,household essentials
4601,AID DRINKMIX,Kroger,beverages
4602,PED CCUTS WLAMB,Kroger,pets
4603,EBBT,Kroger,not an item
4604,JD BREAKFASTBOWL,Publix,bakery
4605,SUAVE COND,Publix,beauty & grooming
4606,RONZONI PENNE,Kroger,grains & pasta
4607,ARMR VNASSSG,Publix,canned goods & soups
4608,KBLR GRHM CRUMBS,Publix,"snacks, cookies, & chips"
4609,ANTM DINNER ROLLS,Kroger,bakery
4610,KKROER BEANS,Kroger,canned goods & soups
4611,DRBR SOAP,Publix,beauty & grooming
4612,LOTTAL,Kroger,not an item
4613,KKRO FROZEN VEG C,Kroger,frozen foods
4614,CANGE 5,Kroger,candy & gum
4615,FBRZ AIR CARE,Kroger,household essentials
4616,TRO PP 0J LOW ACID,Publix,beverages
4617,ENTM MUFFINS PPC,Kroger,bakery
4618,KRO PEANUTS C,Kroger,produce
4619,0M LABL PZA WJUC,Publix,"snacks, cookies, & chips"
4620,PUB HGR CRACKERS,Publix,"snacks, cookies, & chips"
4621,PSSTCKN PAT,Kroger,frozen foods
4622,DDELM GREEN BEAN PPC,Kroger,produce
4623,LBT LIMITED EDITN,Publix,not an item
4624,PFRMBREAD PPC,Kroger,bakery
4625,PBX SWISS CHSE SLC,Publix,dairy
4626,D MINI RAVIOLI,Kroger,grains & pasta
4627,STARBURSTJLLYBNS,Kroger,candy & gum
4628,VOID CASH,Kroger,not an item
4629,GG SWEETPEAS 4PK,Publix,canned goods & soups
4630,ITALIAN SGRBREAD,Publix,bakery
4631,SAVIN3S,Kroger,not an item
4632,ATFOOD,Kroger,pets
4633,FRSHLK CT GRN BEAN,Kroger,canned goods & soups
4634,KRO HAWAI SNDW SLMPC,Kroger,bakery
4635,STOREBEANS,Kroger,canned goods & soups
4636,EMPOYEEDISC,Kroger,not an item
4637,CREST PHLTH MW,Kroger,health & wellness
4638,KRO WHIPPEDTOP,Kroger,dairy
4639,KRO OYSTER CRKR,Kroger,"snacks, cookies, & chips"
4640,PRSL BAGETTE,Kroger,bakery
4641,SOFT SCRUB LEMON,Publix,household essentials
4642,PARTICIPATING ITEMS KT,Kroger,not an item
4643,PSSTCHOC CHIPS,Kroger,candy & gum
4644,MASTERARD,Kroger,not an item
4645,RITZ BITS CHZ SNDW,Kroger,"snacks, cookies, & chips"
4646,HERSHEY CHOC SYRUP,Kroger,"condiments, sauces & seasonings"
4647,BH SWISS CHEESE,Publix,dairy
4648,PPUBLIX BLACK BEANS,Kroger,canned goods & soups
4649,SPRY GUM,Kroger,candy & gum
4650,BLCK PEPPER SNAPEA,Publix,"snacks, cookies, & chips"
4651,STN ABF SMKD TRKY,Kroger,deli
4652,DDAN TRIPLE 0 320Z,Publix,dairy
4653,THRU 14 JUN,Safeway,not an item
4654,OIKOS YOGURT,Kroger,dairy
4655,EMERALD SP CASHEW,Kroger,produce
4656,CHOBANI YOURT PPC,Kroger,dairy
4657,FOR GNE 0F 100,Kroger,not an item
4658,DDM CREAM CORN NS,Publix,canned goods & soups
4659,JIFNTRL PNTBBTR,Kroger,"condiments, sauces & seasonings"
4660,FINISHHJETDDRY,Publix,household essentials
4661,WT ORG BANANAS,Kroger,produce
4662,COS SALMON PPC,Kroger,canned goods & soups
4663,ID RSTGRLC PRM P0,Kroger,"condiments, sauces & seasonings"
4664,LOLBUTTER PPC,Kroger,dairy
4665,OLE FRUITCCUP,Kroger,canned goods & soups
4666,HSFDDS BRN SGR HA,Publix,deli
4667,PRD SUMMERBFUEL 2X PTS,Kroger,not an item
4668,LSTRNE MOUTHWASHH,Kroger,health & wellness
4669,TRSME SHMP BNS,Kroger,beauty & grooming
4670,US DEBIT PURCHAS,Kroger,not an item
4671,VISIITWWW,Kroger,not an item
4672,CAMP TOMATO JUICE,Kroger,beverages
4673,ISKIES CATFOOD,Kroger,pets
4674,PRMOTINN,Publix,not an item
4675,VEGETABLE KABOBS,Kroger,frozen foods
4676,M BRZ,Kroger,bakery
4677,CAMEL CIG NP,Publix,cigarettes & tobacco
4678,VC PORK  BEANS,Kroger,canned goods & soups
4679,BB SENSATIONS,Publix,canned goods & soups
4680,OMBBACON,Kroger,"meat, seafood, & poultry"
4681,JVF SESAME STICKS,Kroger,produce
4682,V8 SPLASH ORGPNAP,Publix,beverages
4683,CAMPCCR OFCCELERY,Publix,canned goods & soups
4684,PROMMOTION,Publix,not an item
4685,1 2300 CAMPBELL SOUP,Kroger,canned goods & soups
4686,TK CURRY PASTE,Publix,"condiments, sauces & seasonings"
4687,KRO CORN 5,Kroger,produce
4688,IDMND AMARETTO,Publix,dairy
4689,A PROTEIN BAR,Kroger,"snacks, cookies, & chips"
4690,RLLA SAUCE,Kroger,"condiments, sauces & seasonings"
4691,WT PLUMSBLACK,Kroger,produce
4692,R FRC SHMPOO,Kroger,beauty & grooming
4693,LSTRNE TTL CARE MW,Kroger,health & wellness
4694,ARWK ARMTC OIL PPC,Kroger,household essentials
4695,STO FAM LASG MT SC,Publix,frozen foods
4696,HFYFRZR BG,Kroger,household essentials
4697,ROMAINE,Kroger,produce
4698,C00L WHIPCREAMY,Publix,dairy
4699,EARNSOBONUS,Kroger,not an item
4700,KODIAK OATMEAL CUP,Publix,breakfast & cereal
4701,JELLO GELATINNMIX,Kroger,"snacks, cookies, & chips"
4702,KRO TRKY BCN PPC,Kroger,"meat, seafood, & poultry"
4703,BBIG K COLA PPC,Publix,beverages
4704,LNDN BROIL RSTBF,Kroger,frozen foods
4705,BTYC SALAD GRAINS,Kroger,produce
4706,WT CHRY RANIER,Kroger,produce
4707,PRSL PITA CHPS,Kroger,"snacks, cookies, & chips"
4708,LIMIT ONE 50 FUE PT BONUS PER 7,Publix,not an item
4709,SSND SALMON,Kroger,"meat, seafood, & poultry"
4710,HSFD NOODLES,Kroger,grains & pasta
4711,DEBIT 40,Kroger,not an item
4712,RITZ BTS CHZ G0 PK,Publix,"snacks, cookies, & chips"
4713,0 FOR 700,Kroger,not an item
4714,E CRACKER,Kroger,"snacks, cookies, & chips"
4715,D DRNKMX,Kroger,beverages
4716,DEBIT PAYMENT,Kroger,not an item
4717,1  2 FOR 600,Kroger,not an item
4718,CNFR GALLO,Kroger,"condiments, sauces & seasonings"
4719,1 2300 OSCM LUNCHABLE,Kroger,"snacks, cookies, & chips"
4720,LLIMIITONE 50 FUEL PT BONUS PER,Safeway,not an item
4721,SPAGH,Kroger,grains & pasta
4722,TKYH DIET GRN TEA,Kroger,beverages
4723,TOES ROMA VL,Kroger,produce
4724,KRO YOGURTT PPC,Kroger,dairy
4725,KROGER APPLE CIDERPC,Kroger,beverages
4726,AWIG,Kroger,dairy
4727,G0G0 SQZ APPBERRY,Publix,canned goods & soups
4728,PUB 4150 RAW SHRI,Kroger,"meat, seafood, & poultry"
4729,GER PANCAKES,Kroger,breakfast & cereal
4730,PILLS PANCK HG MN,Publix,bakery
4731,MMER FUEL2X PTS,Kroger,not an item
4732,APGT FRM,Kroger,deli
4733,C KOER AINS,Kroger,not an item
4734,KRO RED SGR,Kroger,baking
4735,L OLIVES,Kroger,"condiments, sauces & seasonings"
4736,EMERALD HNY RST PN,Publix,"condiments, sauces & seasonings"
4737,MOOTHIE,Kroger,dairy
4738,PT PARMESAN CHEESE,Safeway,dairy
4739,PLLBRY BIISCUIITS,Kroger,bakery
4740,DELLO LEMON JUICE,Kroger,beverages
4741,LAR00BAR,Kroger,"snacks, cookies, & chips"
4742,DELLI CKN WNG,Kroger,deli
4743,OGER SAVIN3S,Kroger,not an item
4744,CALIFORNIAROLL,Publix,"meat, seafood, & poultry"
4745,S10 PAPER PRODCT,Kroger,household essentials
4746,E 2500,Kroger,not an item
4747,M CINN,Kroger,breakfast & cereal
4748,FLANK STKPROV,Publix,"meat, seafood, & poultry"
4749,EZ ELE PAN WCOVER,Publix,household essentials
4750,PUBLIXTOPPING,Publix,baking
4751,KRO SPRK TR,Kroger,beverages
4752,AIRWK OIL TURQOAS,Publix,household essentials
4753,ENTEROUR,Kroger,not an item
4754,ROUND UP,Kroger,"meat, seafood, & poultry"
4755,PHILLYSWIRL POPPER,Publix,frozen foods
4756,KRO TURMERIC,Kroger,"condiments, sauces & seasonings"
4757,KRETCHEESE,Kroger,dairy
4758,PUB CANOLA OIL,Kroger,baking
4759,ROGER SAVING8,Kroger,not an item
4760,PANKO,Kroger,baking
4761,KKRO DRINK MIX,Kroger,beverages
4762,DDELIBRD CKN,Kroger,deli
4763,SIMPLYORANGEMANG,Publix,beverages
4764,YORK PPRMNT PATTY,Publix,candy & gum
4765,PSSTTTEA BAG,Kroger,beverages
4766,GRAPEFRUITRED EST,Kroger,produce
4767,PNTR SWT POT,Kroger,frozen foods
4768,HCCAFESTEAMERS,Publix,frozen foods
4769,WT POTATOES WHITE,Kroger,produce
4770,GRNGNT SWT PEAS,Kroger,canned goods & soups
4771,ROGER SAVINGS 200,Kroger,not an item
4772,SST PEAS,Kroger,canned goods & soups
4773,CKBERRIES,Kroger,produce
4774,PER GALL ATSHELL 0N,Kroger,not an item
4775,LIMIT ONE 50 FUELPTTBONUS PER 7,Kroger,not an item
4776,KROGEF SAVISGS,Kroger,not an item
4777,TOMATO SCE,Kroger,"condiments, sauces & seasonings"
4778,CLR CLEAN,Kroger,household essentials
4779,CCOLI,Kroger,produce
4780,LVS CATFOOD,Publix,pets
4781,H0 POCKETS,Kroger,frozen foods
4782,BNFL DOG F00D PPC,Kroger,pets
4783,DDELMNTJAR FRT,Kroger,canned goods & soups
4784,FX ALWY DISCRT LINER,Kroger,household essentials
4785,PRSLBBLK HAM,Kroger,deli
4786,EMERALD HON GLZ AL,Kroger,produce
4787,BBAIS BUBBLES,Kroger,beverages
4788,DDENTYNE ICE PMINT,Publix,candy & gum
4789,2 FOR 166,Publix,not an item
4790,LISTERIA AND,Kroger,health & wellness
4791,VEGALL MIX,Publix,canned goods & soups
4792,0 PB FOB,Kroger,baking
4793,CHIQ APL SLC,Kroger,produce
4794,CHNTPLATES,Kroger,household essentials
4795,E PEPPER,Kroger,produce
4796,WT ONIONS WHITE C,Kroger,produce
4797,RST ORG,Kroger,produce
4798,KKRO SHRMP SD,Kroger,"meat, seafood, & poultry"
4799,K JERKY,Kroger,"snacks, cookies, & chips"
4800,4C JPN PANKO SSND,Publix,baking
4801,CCELERY HEARTS,Publix,produce
4802,RNA DOG TRT,Kroger,pets
4803,PF BBY GLDFSH CHDR,Publix,"snacks, cookies, & chips"
4804,RLIC LARGE,Kroger,"condiments, sauces & seasonings"
4805,PUBLIX CREAM CORN,Kroger,dairy
4806,PRSL SYRUP PPC,Kroger,"condiments, sauces & seasonings"
4807,IT YOGURT,Kroger,dairy
4808,AMY S PIZZA,Publix,frozen foods
4809,MAWT MUFFIN MIX,Kroger,baking
4810,WT POTATO YUKON,Kroger,produce
4811,BBHNTBBY,Kroger,baby & kids
4812,SHKNBK PORK,Kroger,"meat, seafood, & poultry"
4813,GE SAVINS,Kroger,not an item
4814,GGG CASSEROLE,Publix,frozen foods
4815,BBSTNMK SLSBRY STK,Kroger,frozen foods
4816,EVOL MULTISERVE,Publix,frozen foods
4817,DEL00C0RN,Kroger,bakery
4818,KKRO CLRY HRTT,Kroger,produce
4819,MONTCCHKN MOZZ RAV,Publix,frozen foods
4820,JIF T0 G0 PNTBBTR,Kroger,"condiments, sauces & seasonings"
4821,KER GRANOLABBAR,Kroger,"snacks, cookies, & chips"
4822,GGRANDSBBUTTERMILK,Publix,bakery
4823,OERSAVINS,Kroger,not an item
4824,Z TST,Kroger,breakfast & cereal
4825,PAGHETTIOS,Publix,canned goods & soups
4826,CELERY CELERY,Publix,produce
4827,JUMEX GUVA NCTR,Kroger,beverages
4828,SC KROGER SWINGS,Kroger,not an item
4829,SC KROGR SAINGS,Kroger,not an item
4830,CMGD NMOWN SCE,Kroger,"condiments, sauces & seasonings"
4831,BOCLK COFFEE PPC,Kroger,beverages
4832,LYSOL WIPESDACTN,Publix,household essentials
4833,TFWRBND THEMEBOOK,Publix,household essentials
4834,KKROGER FRUIT,Kroger,canned goods & soups
4835,E VISIT,Kroger,not an item
4836,DDURACELL AAA,Kroger,household essentials
4837,PPRNI PARM CHS ANGE,Kroger,dairy
4838,ALMND THIN CRACKER,Publix,"snacks, cookies, & chips"
4839,SIG CKN BRST FZ,Safeway,frozen foods
4840,KRO DIPMIX,Publix,"snacks, cookies, & chips"
4841,A EVET SAINGS,Publix,not an item
4842,CHINETDDINNER NAPK,Publix,household essentials
4843,Q NRTHN ULTRA PLSH,Kroger,household essentials
4844,H SAL STK,Kroger,frozen foods
4845,STARBCK CREME KCUP,Publix,beverages
4846,MRS P FISH STICK,Kroger,frozen foods
4847,PSSTGARLLIC POWDER,Kroger,"condiments, sauces & seasonings"
4848,KRO PIE CRUSTJ,Kroger,bakery
4849,PLBRY CRUST PPC,Kroger,bakery
4850,BLTH CAPPNO,Kroger,beverages
4851,MIXIM YOGURT PPC,Publix,dairy
4852,EBTCCASHEBTLFOOD,Kroger,not an item
4853,JCE PPC,Kroger,beverages
4854,FOR ORE,Kroger,"snacks, cookies, & chips"
4855,FBZ AIR EFFECTS,Kroger,household essentials
4856,E OLE CHIMCHNGA,Kroger,frozen foods
4857,FRISKEECCATFOOD,Kroger,pets
4858,PUBGRTROMPARM,Publix,dairy
4859,KKRFT SINGLES PPC,Kroger,dairy
4860,FFSTCAT FD,Kroger,pets
4861,LBCCHOCCHIPMUFF,Publix,baking
4862,CHICKEN PPC,Kroger,"meat, seafood, & poultry"
4863,HMK CARD CHR,Kroger,party & occasions
4864,BRHD RST KY,Kroger,deli
4865,GMCINN TOASTCCER,Publix,breakfast & cereal
4866,MEATT,Kroger,"meat, seafood, & poultry"
4867,SVNG DISH LIQUID PPC,Kroger,household essentials
4868,K CAT FD,Kroger,pets
4869,PUBLIX INSTBN RIC,Publix,grains & pasta
4870,GW CHIXDRUMSTICKS,Publix,frozen foods
4871,HERSHEY SNACKSTERSPC,Kroger,"snacks, cookies, & chips"
4872,AMYS BURRIITO,Publix,frozen foods
4873,BBTYCBROWNIE,Kroger,baking
4874,0M DFROTS CHKN BR,Publix,"meat, seafood, & poultry"
4875,WATER C,Kroger,beverages
4876,BBIC LR LIGHTER,Publix,household essentials
4877,SUMMER FUL,Kroger,not an item
4878,TYLENOL COLD,Kroger,health & wellness
4879,KROMESH POUF,Kroger,beauty & grooming
4880,SPINNING,Kroger,produce
4881,0G GW BABY SPINACHH,Publix,produce
4882,PPUB PETDDCD TOMATO,Publix,canned goods & soups
4883,FAGE MAPLE GRAIN,Kroger,dairy
4884,CONCHITA BLK BEANS,Publix,canned goods & soups
4885,BTYC CAKE MIX PPC,Kroger,baking
4886,AHMR CRPTODR ELIMPC,Kroger,household essentials
4887,TNO PIIZZAA,Kroger,frozen foods
4888,ONLINE AT,Kroger,not an item
4889,GM HNY NUTCHEERIOPC,Kroger,breakfast & cereal
4890,HERSHEY ROLOS MINI,Publix,candy & gum
4891,RGER SAVIINGS,Kroger,not an item
4892,PBXDELI PROVOLONE,Publix,deli
4893,MR BTLDEPOST NP,Kroger,not an item
4894,KRO TKY GRND,Kroger,"meat, seafood, & poultry"
4895,WITH QUR LOW,Kroger,dairy
4896,HAAS AVOCADOS,Publix,produce
4897,KLBR CLUB,Kroger,"snacks, cookies, & chips"
4898,KRO CHO PIE CRST,Kroger,dairy
4899,WT APPLE GRAN SMEURO,Publix,produce
4900,FRITO LAY MIX PPC,Kroger,"snacks, cookies, & chips"
4901,BBRHD WRAP,Safeway,bakery
4902,CAPRI 10PK PUYCHH,Publix,beverages
4903,RRD SMMER FUEL2X PTS,Kroger,not an item
4904,E 10600 YOPLAIT YOGURT,Kroger,dairy
4905,ANNUALCARDSAVNGS,Kroger,not an item
4906,SC KRO PEANUT BUTTER,Kroger,"condiments, sauces & seasonings"
4907,GSS,Kroger,dairy
4908,YOPLAITTYOGURTT,Kroger,dairy
4909,DIXIEPAPER PLATE,Kroger,household essentials
4910,TWO VALLID FORMS 0F ID,Kroger,not an item
4911,SIG POTATOES,Safeway,produce
4912,E 055 LB,Kroger,not an item
4913,CHEEZITDDUOZ CHDR,Publix,"snacks, cookies, & chips"
4914,PERT PLS SHAMPOO,Kroger,beauty & grooming
4915,KOR SVINS,Publix,"snacks, cookies, & chips"
4916,WT SQUASHHZUCCHH,Kroger,produce
4917,SMPLE TRUTH SPREADPC,Kroger,dairy
4918,CHEESE C,Kroger,dairy
4919,N0 BUTTER HAMBUN,Publix,bakery
4920,SSOCIATE DISC,Kroger,not an item
4921,SWEET HAM,Kroger,deli
4922,SPKLG ICEPNK GPFR,Publix,beverages
4923,NNSTL MORSELS PPC,Kroger,candy & gum
4924,OER SVING,Kroger,not an item
4925,RKIST TUNA,Kroger,canned goods & soups
4926,TORT HP,Kroger,bakery
4927,ALPO DNTL CHEWS,Kroger,pets
4928,CURRENT MONTH,Kroger,not an item
4929,KRO CANOLA OIIL,Kroger,baking
4930,KIND CLUSTERS,Kroger,"snacks, cookies, & chips"
4931,OLAIT YOURT,Kroger,dairy
4932,ASSTDDONUTS 4CT,Publix,bakery
4933,WERADE PPC,Kroger,beverages
4934,IC TPNG,Kroger,baking
4935,ST PECAN PCS RAW,Kroger,produce
4936,BUITONI RAVIOLI,Kroger,grains & pasta
4937,FINISHGELPAC ORNG,Publix,household essentials
4938,GRANDS ROLLS CINN,Kroger,bakery
4939,BONUS PER,Kroger,not an item
4940,YOPLAIT OGURTT PPC,Kroger,dairy
4941,PICANTE,Kroger,"snacks, cookies, & chips"
4942,PRSL PR0V0L0,Kroger,deli
4943,CKN NATBRSTBBL SL,Kroger,"meat, seafood, & poultry"
4944,PPUB F00D STR BAG,Publix,household essentials
4945,NACHOS,Kroger,"snacks, cookies, & chips"
4946,LIIMIT 0NE50 FUEL PT BONUS PER 7,Kroger,not an item
4947,ONE PUCHASE 0F UP 0,Kroger,not an item
4948,CAPRIRO WTRS GRPE,Publix,beverages
4949,KRO RELLISH,Kroger,"condiments, sauces & seasonings"
4950,CPICK CORNBREAD,Publix,baking
4951,SC FREE FRZN VEGETABL,Kroger,frozen foods
4952,TSTD PITA ORIGINAL,Kroger,"snacks, cookies, & chips"
4953,H SPRK WATER,Kroger,beverages
4954,BRHD BOLOGNA,Kroger,deli
4955,BANQ APPLE PIE,Kroger,frozen foods
4956,CASTLBRY HD CHILI,Kroger,canned goods & soups
4957,0 PEANUTBBUTTER,Kroger,"condiments, sauces & seasonings"
4958,EFRIED BEAN,Kroger,canned goods & soups
4959,SSUE,Kroger,bakery
4960,KROE SVINGS,Kroger,not an item
4961,TWIN POCKET PORT P,Kroger,frozen foods
4962,KKRO CHILI PWDR,Kroger,"condiments, sauces & seasonings"
4963,CL FRUIT PUNCHH,Publix,beverages
4964,RAMN NOOLE,Kroger,canned goods & soups
4965,FX KRO UNDERWEAR,Kroger,apparel
4966,KKROGER GARBAGEEBAG,Kroger,household essentials
4967,SM APPLE PIE,Kroger,frozen foods
4968,KRO CREAM CHEESE PC 1,Kroger,dairy
4969,MBRY SSG PATTIES,Kroger,frozen foods
4970,POTTED BASIL 6 IN,Publix,produce
4971,EMPLYEE DISC 10 T,Kroger,not an item
4972,TFYN MULTIGRN PITA,Publix,bakery
4973,GGRAPES WHT DLS,Publix,produce
4974,WEBER MARINADE,Kroger,"condiments, sauces & seasonings"
4975,STN CHKBST,Kroger,"meat, seafood, & poultry"
4976,E SVIG,Kroger,not an item
4977,SC FREE POTATOES,Kroger,produce
4978,BH BLCKND TRKYBRS,Publix,deli
4979,2F0R 700,Publix,not an item
4980,NOW HIIRIING,Kroger,not an item
4981,WT CHIO BANANAS,Kroger,produce
4982,PRO CHKN DUMPLINGS,Publix,canned goods & soups
4983,KRO CHOC FDG,Kroger,frozen foods
4984,KRO PK CARNITAS SS,Kroger,"meat, seafood, & poultry"
4985,KRFTMYO,Kroger,"condiments, sauces & seasonings"
4986,CARIBOU KCUP,Publix,beverages
4987,NAB TOMATO TRISCUT,Publix,"snacks, cookies, & chips"
4988,L FAB SFTNR,Kroger,household essentials
4989,HMK CD EV SG,Kroger,"meat, seafood, & poultry"
4990,LA PREFGREEN CHIL,Kroger,"condiments, sauces & seasonings"
4991,WIITH 0R LOW,Kroger,not an item
4992,MARUCHAN BEEF,Kroger,boxed meals
4993,N HELPER,Publix,boxed meals
4994,SC TUP 2 LITERS,Kroger,beverages
4995,LIMIITONE 50 FUEL PTTBONUS PER,Kroger,not an item
4996,DEODRNTPC,Kroger,beauty & grooming
4997,LBRY FROSTING,Kroger,baking
4998,BBLRB BACON,Kroger,"meat, seafood, & poultry"
4999,KRO BREAD PC 1,Kroger,bakery
5000,PARTICIPARING ITEMS,Kroger,not an item
5001,0 GRND TRKY,Kroger,"meat, seafood, & poultry"
5002,THIS MONTHS POIN7S EXPIRE,Kroger,not an item
5003,5 0R 500,Kroger,not an item
5004,KRO CHNK CHKN BRSTT,Kroger,canned goods & soups
5005,L PURE LIFE,Kroger,beverages
5006,STNFR ORIIG NAAN,Kroger,bakery
5007,DRY DETERGNTPC,Kroger,household essentials
5008,GOLD PEAK DIET TEAPC,Kroger,beverages
5009,KRO FZ POP,Kroger,frozen foods
5010,AOCAO HSS,Kroger,produce
5011,SL BRS,Kroger,bakery
5012,TGIFDDIP,Publix,"snacks, cookies, & chips"
5013,RMPLF CROSANT,Kroger,bakery
5014,OMUSHROOM,Kroger,produce
5015,PRSL ANG STK PPC,Kroger,"meat, seafood, & poultry"
5016,G00D 2 GROWJUICE,Publix,beverages
5017,MASTERCARD 1,Kroger,not an item
5018,KRO GINGER,Kroger,"condiments, sauces & seasonings"
5019,K BEANS,Kroger,canned goods & soups
5020,SARA HNY TKY,Kroger,deli
5021,LIPTON TEA GALLON,Publix,beverages
5022,ARMR CHS PIZZALNC,Publix,frozen foods
5023,TTNO PLZZAA,Kroger,frozen foods
5024,PASPAR PASTA,Kroger,grains & pasta
5025,ARWK OIL WARMER,Kroger,household essentials
5026,NAVELS CA,Kroger,produce
5027,RD ASSOCIATE,Kroger,not an item
5028,WTT TOMATOES PPC,Kroger,produce
5029,HTGF IENERS,Publix,"meat, seafood, & poultry"
5030,C RGR AVGS,Kroger,not an item
5031,ARIIZONA TEA,Kroger,beverages
5032,KRO FROZEN,Kroger,frozen foods
5033,CJINJ SAUCE,Kroger,"condiments, sauces & seasonings"
5034,PUMPKIN SEEDS,Kroger,produce
5035,ONIOSGREEN,Kroger,produce
5036,FSH STX,Kroger,frozen foods
5037,WT BBANANAS L,Kroger,produce
5038,CAREFREE PNTLNR RG,Publix,health & wellness
5039,GOODY BOBBY PN,Kroger,beauty & grooming
5040,APPLE FUJI EURO SMPC,Kroger,produce
5041,KRO ALOE VERA JCE,Kroger,beverages
5042,WT BBANANA,Kroger,produce
5043,KRFT DRESSING KT,Kroger,"condiments, sauces & seasonings"
5044,ST SALAMI PANINO,Kroger,deli
5045,BLK FRST HM SLCD,Kroger,deli
5046,GAIN ORIGINAL,Kroger,household essentials
5047,DEW KICKSTART,Kroger,beverages
5048,DM SWEETPEAS,Kroger,canned goods & soups
5049,ROGER SAVINGS 030,Kroger,not an item
5050,PRNMOTION,Publix,not an item
5051,BBTNI PESTO SAUCE,Kroger,"condiments, sauces & seasonings"
5052,LLOLBBUTTER,Kroger,dairy
5053,OGER SAVTNGS,Kroger,not an item
5054,KKITKAT,Kroger,candy & gum
5055,JIFFY MUFFFIN MIX,Kroger,baking
5056,PSSTDGARLIC POWDER,Kroger,"condiments, sauces & seasonings"
5057,ID SP VANILLA PT,Kroger,dairy
5058,CESAR SD ANGUS BF,Publix,pets
5059,RMRCHRAMEN NOODLE,Kroger,canned goods & soups
5060,REYER BARS,Kroger,frozen foods
5061,MAYB FOUNDTN,Kroger,beauty & grooming
5062,OALSAVINGS,Kroger,not an item
5063,NWMN OWN ENTREE,Kroger,frozen foods
5064,KRO3ER BEANS,Kroger,canned goods & soups
5065,0G G BABY SPINACHH,Publix,produce
5066,GNOV TUNA,Kroger,canned goods & soups
5067,TLHS MORSELS,Kroger,candy & gum
5068,SAVEEN ADDITIONAL,Kroger,not an item
5069,MICH MANICOTII,Kroger,frozen foods
5070,0 TOMATO SAUCE,Kroger,"condiments, sauces & seasonings"
5071,PACE READY MEALS,Publix,boxed meals
5072,KELL MIN WHTBLUBR,Publix,breakfast & cereal
5073,MEATBALL WHL SUB,Publix,frozen foods
5074,PUBLIX TPASTRY,Kroger,bakery
5075,PR PINE SOL CLEANER,Kroger,household essentials
5076,YOPLTKEY LMEPIE,Publix,dairy
5077,KRO FISH STICKS,Kroger,frozen foods
5078,HSFDDS SMKD HAM,Publix,deli
5079,PBX DELI TEA SWT H,Publix,beverages
5080,TSTKAK HONEY BUN,Kroger,"snacks, cookies, & chips"
5081,JAPF SUSHI,Kroger,"meat, seafood, & poultry"
5082,GM STAR WARS CRL,Kroger,breakfast & cereal
5083,REF 000000,Kroger,not an item
5084,KNORR RICE SIDES,Publix,grains & pasta
5085,K BREAST BLSL,Kroger,"meat, seafood, & poultry"
5086,R HAIR COLOR,Kroger,beauty & grooming
5087,CASHBAK,Kroger,not an item
5088,DOLE CLSC COLESLAW,Kroger,produce
5089,T BABY RAY,Kroger,"condiments, sauces & seasonings"
5090,LIMITONE 50 FUELPTBNUS PER,Kroger,not an item
5091,R SAAVINGS,Kroger,not an item
5092,S KOGRSVINS,Kroger,not an item
5093,YSN DRMSTKS,Kroger,frozen foods
5094,RAMN NOODLLE,Kroger,canned goods & soups
5095,WTRMLN SEED PRM,Kroger,produce
5096,KR PS MLTGRN,Kroger,"snacks, cookies, & chips"
5097,MM MINI COOKIE,Kroger,baking
5098,UCK STEAK,Kroger,"meat, seafood, & poultry"
5099,RR ZERO GRAIN TRKY,Publix,"meat, seafood, & poultry"
5100,WT BANANNAS,Kroger,produce
5101,ROGER SAVINGS 100,Kroger,not an item
5102,KRO CHKN  DMPL,Kroger,canned goods & soups
5103,DASANI SPK BERRY,Publix,beverages
5104,YOPLAIITYOGURTT,Kroger,dairy
5105,UNCLE BEN FG RICE,Publix,grains & pasta
5106,KG STRWBRRYBARS,Publix,"snacks, cookies, & chips"
5107,S CHOWMEIN,Kroger,dairy
5108,PERDUE CHICKEN,Publix,frozen foods
5109,BBFORSTDGUMMY BEARSPC,Kroger,candy & gum
5110,R0 GREEN BEAN,Kroger,canned goods & soups
5111,RICE CKES,Kroger,"snacks, cookies, & chips"
5112,ENMRY,Kroger,dairy
5113,WT ONIIONS YLW,Kroger,produce
5114,BBAKED LAYS CRIISPS,Kroger,"snacks, cookies, & chips"
5115,KRO NF DRMLK,Kroger,dairy
5116,LOPER GAL AT SHELL 0N,Kroger,not an item
5117,YOPLAIT OUT,Kroger,dairy
5118,ALEXIA YK HASH BRW,Publix,frozen foods
5119,PBX SWEETCCOLESLA,Publix,deli
5120,1 REGPRIICE,Safeway,not an item
5121,KKRO LVG WL CEREAL,Kroger,breakfast & cereal
5122,PUB AA BATT 10PK,Publix,household essentials
5123,LIIMIIT ONE 50 FUELPTTBONUS PER,Kroger,not an item
5124,SC KROGER WINGS,Kroger,frozen foods
5125,YOPLAITYOUT,Kroger,dairy
5126,SUAVE KIDS 3N1 PF,Publix,baby & kids
5127,KKRO PIE CRUST,Kroger,bakery
5128,PUBLIXTOMSC NSA,Publix,"condiments, sauces & seasonings"
5129,RELISH,Kroger,"condiments, sauces & seasonings"
5130,KRO BRATWRST PPC,Kroger,"meat, seafood, & poultry"
5131,PEPSI COLAA PPC,Kroger,beverages
5132,UNCEN RICE,Kroger,grains & pasta
5133,KKROGER OAVINGS,Kroger,not an item
5134,TRKY BRST PPC,Kroger,deli
5135,MTN WATER,Kroger,beverages
5136,KKRO BEETS,Kroger,canned goods & soups
